id,operation,sub operation,specific location,department,title,description,immediate action taken,date of occurrence,issue_category,reporting_period,observation_category
98346,RSA Support Services,Support Services,-,Offices & Recreation,Observation,New first aiders not added to the Emergency contact list,Notified the ECOHS team.,2026-04-21T00:00:00.000Z,Emergency Preparedness,End-Month,Negative Observation
98339,Angola,Transport Activities, Vehicles,Light Vehicles,Vehicle Audit,Congratulations to the engineering team for maintaining all vehicles to a high standard.,Informed Responsible person,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98338,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),No signs of rodents or insects,Rats observed during the night at the dinning area,Poison has been placed,2026-05-05T00:00:00.000Z,Other,Beginning,Negative Observation
98337,Angola,Field Facilities,Lucapa Camp,Kitchen,Housekeeping with in the kitchen,"Overhead extractor in Kitchen needs to be cleaned, Area behind fridge to be cleaned, drain point in middle of kitchen to be cleaned",Informed Responsible person,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98336,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Deep Cleaning,No Deep cleaning conducted in these facilities,"Discussed with Responsible person to deep clean the floor tiles, the side will be washed as the tiles has been painted",2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98335,Angola,Field Facilities,Lucapa Camp,Kitchen,Expired Food,Expired Canned food (Vienna's - 02/04/2026) and Vegetable Stock Identified in Freezer and Kitchen Storeroom,Removed immediately,2026-04-11T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
98334,Angola,Field Facilities,Lucapa Camp,Kitchen,Hygiene,"FIFO (First In, First Out) could not be produced",Informed Responsible person,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98333,Angola,Field Facilities,Lucapa Camp,Kitchen,Ventilation,Extractor fan in kitchen not working,Responsible person informed,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98330,Angola,Field Facilities,Lucapa Camp - Core Shed,Core Logging,Electrical Installation,"Core Shed - Extension cable running over walkway - Additional Plug to be installed in front of Container 6
Core Shed - DB missing labels and Feed from and Quarterly Inspection",Informed Responsible Person,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98329,Angola,Field Facilities,Lucapa Camp,Workshop,Electrical Installation,Electrical plugs not numbered and Workshop (Tyre Bay) DB not locked,Informed Responsible Person,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98328,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Water Management,"Gutters at offices need to be cleaned, blocked with leaves",Gutters at offices was cleaned immediately,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98327,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Equipment's at Omega Facilities,"Identified a damaged knife with no handle in Omega change room, Identified a shovel with damaged handle at Omega Change Room",Removed Immediately,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98326,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Bundwalls,Volume not displayed at Paint store,Informed Responsible Person,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98325,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Chemical Inventory,No Inventory list available for camp,Informed Responsible Person,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98324,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Safety Data Sheets,No Safety Data Sheets displayed at the point of use throughout Lucapa Camp,Informed Responsible Person,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98322,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Environmental Management,Garden Shed - Gas cylinders not chained,Informed Responsible Person,2026-04-11T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
98321,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Communication and Notice Boards,"Safety Meeting Minutes, Workplace Inspections, SHEC Alerts, De Beers Values, SHE Policy, Employee Assistance Program (EAP), ERP, etc., HIV AIDS, Typhoid, Malaria, Snake and other awareness posters/ information appropriate to the location are not displayed",Informed Responsible Person,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98320,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Emergency Rollcall list,"No List available, Noticeboard to be updated",Informed responsible person,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98319,Angola,Field Facilities,Lucapa Camp,Workshop,Emergency Equipment,Workshop (Tyre Bay) Eye wash bottles almost empty,Eye wash bottles to be replace with those at the Office Block,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
98318,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Medical Equipment,AED - 9V Batteries are flat,Batteries to be replaced,2026-04-11T00:00:00.000Z,Emergency Preparedness,Mid-Month,Negative Observation
98317,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Fire Extinguishers,"OFI - With reduced area usages, fire extinguishers can be allocated more closer to the buildings",Informed Responsible Person,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98316,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Fire Equipment,Outside Kitchen - Fire Extinguisher obstructed by dustbins,Dust bins to be removed,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
98315,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Notice Board,"Emergency Response Plan current, available and posted, Emergency Response Team Organogram (Pictures) not displayed",Informed responsible person,2026-04-11T00:00:00.000Z,Emergency Preparedness,Mid-Month,Negative Observation
98146,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),Nonfunctional Fire Extinguishers identified at coreshed and sewage plant.,"Nonfunctional Fire Extinguishers identified at coreshed and sewage plant. The pressure gauge needles are in the red zone, an indication that they are under pressure (low pressure), therefore likely not to discharge during a fire emergency.",All the faulty fire extinguishers were immediately replaced by serviced ones.,2026-04-28T00:00:00.000Z,Safety,End-Month,Negative Observation
98145,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),Snake tracks spotted during camp patrol in Tsabong DBHB Field camp.,Snake tracks spotted during camp patrol in Tsabong DBHB Field camp.,The field team reminded of the presence of dangerous creatures around the camp. The importnace of constant SLAM and always being vigilant was reemphasized.,2026-04-27T00:00:00.000Z,Safety,End-Month,Negative Observation
98144,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),A wasp spotted in front of the office block exit door.,"A wasp spotted in front of the office block exit door. As the nest is located in the office block exit door area, it poses a safety risk for anyone entering or exiting the space.",The wasp nest was safely removed.,2026-04-26T00:00:00.000Z,Safety,End-Month,Negative Observation
98143,Botswana,Field Facilities,Tsabong  Field Camp.,Accommodation (Company Owned),"A large, woody shrub and climbing vines have grown through the chain-link mesh.","A large, woody shrub and climbing vines have grown through the chain-link mesh. The thickness of the stems is beginning to warp the wire, and the weight of the vines could cause the fence to sag or pull out of alignment.",The shrub was immediately removed.,2026-04-25T00:00:00.000Z,Other,End-Month,Negative Observation
98102,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Safe Work Completion,"Tasks completed safely with work area restored after completion.
",Maintain safe task closure practices and include area restoration in task close‑out requirements.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98101,Angola,Sample Processing,Lucapa_campsite,Waste Management,Compliance With Environmental Controls,"Environmental protection measures correctly applied during work.
","Maintain environmental compliance, Include environmental checks in inspections.",2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98100,Angola,Field Facilities,Lucapa campsite,Kitchen,Positive Attitude Toward Safety,"Workers displayed a positive attitude toward safety requirements.
",Encourage continued safety engagement and recognize positive safety behavior during meetings.,2026-04-29T00:00:00.000Z,Other,End-Month,Positive Observation
98099,Angola,Company Offices,Lucapa campsite,Facility & Infrastructure,No Congestion in Work Area,"Work area free from congestion, allowing safe movement.
",Maintain adequate space management and control number of personnel per task area.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98098,Angola,Company Offices,Muconda_drill_site_workshop,Facility & Infrastructure,Proper Storage of Personal Protective Equipment,"PPE stored correctly when not in use.
",Maintain good PPE storage practices and provide designated PPE storage areas.,2026-04-29T00:00:00.000Z,Safety,End-Month,Negative Observation
98097,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Effective Communication Between Workers,"Clear communication observed throughout task execution.
",Sustain effective communication practices and encourage confirmation of instructions before starting tasks.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98096,Angola,Field Activities,Muconda_drill_site,Materials Handling,Good Task Sequencing,"Work activities were sequenced logically to minimize risk exposure.
",Maintain proper task sequencing and verify sequencing during work planning.,2026-04-29T00:00:00.000Z,Other,End-Month,Positive Observation
98095,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Preparedness for Emergency Situations,"Workers demonstrated awareness of emergency response procedures.
",Reinforce emergency preparedness and review emergency arrangements during safety meetings.,2026-04-29T00:00:00.000Z,Emergency Preparedness,End-Month,Negative Observation
98094,Angola,Field Activities,Muconda_drill_site,Ground Geophysics,Safe Equipment Positioning,"Equipment positioned safely and not obstructing access routes.
",Continue correct equipment positioning and confirm positioning during site inspections.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98093,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Respect for Safety Boundaries,"Personnel complied with barricades and exclusion zones.
",Maintain respect for safety boundaries and inspect boundaries routinely.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98092,Angola,Field Activities,Muconda_drill_site_workshop,Materials Handling,Correct Handling of Materials,"Materials handled carefully, avoiding unsafe movements or postures.
",Sustain careful material handling and reinforce correct handling techniques during training.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98091,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Proactive Supervision,"Supervision proactively addressed potential risks before work progressed.
",Continue proactive supervision approach and include risk review in daily supervision tasks.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98090,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Accurate Use of Safety Documentation,"Work conducted in accordance with approved procedures and assessments.
",Maintain procedural discipline and ensure documentation is available at point of work.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98089,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Compliance With Site Rules,"Site safety rules clearly followed during observed activities.
",Sustain compliance culture and reinforce site rules during toolbox talks.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98088,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Safe Interaction Between Teams,"Employees and contractors coordinated activities safely and effectively.
",Promote continued coordination and encourage cross‑team communication during daily planning.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98087,Angola,Sample Processing,Muconda_drill_site,Waste Management,Good Waste Control,"Waste generated during activities was controlled and promptly removed.
",Maintain effective waste control measures and include waste checks in task completion reviews.,2026-04-29T00:00:00.000Z,Environmental,End-Month,Positive Observation
98086,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Clear Identification of Work Areas,"Work areas clearly defined and controlled to prevent unauthorized access.
",Maintain area control measures and review demarcation during inspections.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98085,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Effective Pre‑Task Planning,"Task planning discussions conducted prior to work commencement.
",Continue structured pre‑task planning and Supervisors to verify planning discussions daily.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98084,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Orderly Worksite Conditions,"Worksite observed in an orderly condition with no unnecessary materials present.
",Sustain orderly work practices and reinforce “clean as you go” expectations during briefings.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98083,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Proper Use of Safety Gear,"Personnel consistently used mandatory safety gear throughout task execution.
",Maintain current safety gear compliance levels and continue monitoring during routine site walk‑arounds.,2026-04-29T00:00:00.000Z,Other,End-Month,Negative Observation
98082,Angola,Sample Processing,Lucapa_campsite,Waste Management,Waste Removal After Task,"Waste removed immediately after completion of work.
","Maintain post‑task cleanup practice, include waste removal as part of task closure checklist.",2026-04-29T00:00:00.000Z,Environmental,End-Month,Negative Observation
98081,Angola,Company Offices,Lucapa_campsite,Facility & Infrastructure,Positive Safety Culture,"Overall strong safety awareness and positive attitude observed.
",Reinforce positive safety culture and recognize and acknowledge safe behaviors regularly.,2026-04-29T00:00:00.000Z,Other,End-Month,Positive Observation
97997,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Absence of Unsafe Acts,"No unsafe acts observed during site inspection.
","Maintain compliance with SHE rules, continue routine inspections and VFL engagements.",2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97996,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Cooperative Teamwork,"Good cooperation observed between employees and contractors.
",Promote continued teamwork and encourage joint safety discussions and engagement.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97995,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Emergency Awareness,"Employees demonstrated knowledge of evacuation routes and assembly points.
",Reinforce emergency awareness and review emergency procedures during toolbox talks.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97994,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Safety Signage Compliance,"Workers respected safety signage and restricted areas.
","Maintain signage awareness, and ensure signage remains visible and updated.",2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97993,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Manual Handling Practices,"Workers applied correct manual handling techniques.
",Maintain good manual handling practices and continue refresher training and supervision.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97992,Angola,Sample Processing,Muconda_drill_site_workshop,Storage & Handling,Safe Material Storage,"Materials stacked safely and neatly.
",Maintain proper storage practices and designate and label storage areas clearly.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97991,Angola,Field Activities,Muconda_workshop_drill_site,Materials Handling,Correct PPE Selection,"Employees using task‑specific PPE correctly.
",Sustain correct PPE selection awareness and provide refresher guidance during safety briefings.,2026-04-28T00:00:00.000Z,Safety,End-Month,Negative Observation
97990,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Safe Tool Use,"Tools and equipment inspected before use.

",Maintain pre‑use inspection practices and reinforce responsibility through toolbox talks.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97989,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Reporting of Hazards,"Worker proactively reported a minor hazard to supervision.
",Encourage continuous hazard reporting and reinforce no‑blame reporting culture during safety meetings.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97988,Angola,Company Offices,Muconda_drill_site,Security & Access,Emergency Equipment Access,"Fire extinguishers and emergency exit fully accessible.
",Maintain unobstructed emergency equipment and include emergency equipment checks in housekeeping inspections.,2026-04-28T00:00:00.000Z,Safety,End-Month,Negative Observation
97986,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Supervisor Presence,"Supervisor actively present and monitoring ongoing activities.
",Continue visible supervision and include supervision presence as part of daily planning.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97984,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Toolbox Talk Participation,"Toolbox talk conducted with active participation from the workforce.
",Maintain engagement during toolbox talks and encourage team feedback and rotate toolbox talk facilitators.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97983,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Clear Walkways,"Pedestrian walkways and access routes kept clear at all times.
",Sustain access control standards and mark walkways clearly and monitor during routine inspections.,2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97982,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),SLAM / JSA Compliance,"SLAM/JSA completed and understood before task commencement.
","
Reinforce consistent SLAM use and ensure supervisors verify SLAM completion for all activities.",2026-04-28T00:00:00.000Z,Other,End-Month,Negative Observation
97981,Angola,Field Activities,Muconda_accomodation_fly_camp,Other,Waste Segregation,Waste correctly segregated and disposed of in labelled bins.,Maintain waste segregation practices and continue awareness sessions and periodic waste audits.,2026-04-28T00:00:00.000Z,Environmental,End-Month,Negative Observation
97979,Angola,Field Facilities,Muconda_accomodation,Accommodation (Tented),Good Housekeeping,"Work areas were clean, organized, and free of trip hazards.","Sustain housekeeping standards, assign area responsibility and include housekeeping checks in daily inspections.",2026-04-27T00:00:00.000Z,Other,End-Month,Positive Observation
97975,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),PPE Compliance,"Employees observed wearing correct mandatory PPE during all work activities.
",Maintain current PPE compliance standard and continue regular supervision and reinforce PPE use during toolbox talks.,2026-04-27T00:00:00.000Z,Safety,End-Month,Negative Observation
97904,Angola,Sample Processing,Muconda_workshop,Waste Management,Sharp Objects in Open Waste Bins,"Sharp objects disposed of without protection.
",Provide puncture‑resistant containers for sharp waste.,2026-04-27T00:00:00.000Z,Other,End-Month,Negative Observation
97896,Angola,Sample Processing,Muconda_worksho_area,Storage & Handling,Waste Stored in Walkways,"Waste bags temporarily stored in access routes.
",Designate temporary waste holding areas away from walkways.,2026-04-27T00:00:00.000Z,Environmental,End-Month,Negative Observation
97895,Angola,Sample Processing,Muconda_workshop_area,Waste Management,No Waste Identification Labels,"Waste containers not clearly labeled.
",Label all waste containers according to waste type.,2026-04-27T00:00:00.000Z,Environmental,End-Month,Negative Observation
97894,Angola,Sample Processing,Muconda_Workshop_area,Storage & Handling,Improper Disposal of PPE,"Used PPE disposed of in incorrect bins.
",Educate employees on proper PPE disposal procedures.,2026-04-27T00:00:00.000Z,Safety,End-Month,Negative Observation
97893,Angola,Sample Processing,Muconda_workshop_area,Storage & Handling,Overflowing Waste Bins,"Waste bins observed overflowing in work areas.
",Increase waste collection frequency and monitor bin capacity.,2026-04-27T00:00:00.000Z,Environmental,End-Month,Negative Observation
97892,Angola,Field Facilities,Muconda_drill_Storage_area,Hazardous Materials Storage,Waste Not Segregated,"General and hazardous waste mixed together.
",Provide labeled bins and reinforce waste segregation requirements.,2026-04-27T00:00:00.000Z,Environmental,End-Month,Negative Observation
97891,Angola,Sample Processing,Muconda_drill_site_workshop,Storage & Handling,Uncontrolled Tool Storage,"Tools left on elevated surfaces, creating falling‑object risks.
",Store tools in designated toolboxes after use.,2026-04-27T00:00:00.000Z,Other,End-Month,Negative Observation
97890,Angola,Sample Processing,Muconda_Workshop_area,Storage & Handling,Slippery Floors,"Wet and oily floor surfaces without warning signs.
",Clean spills immediately and place hazard signage.,2026-04-27T00:00:00.000Z,Other,End-Month,Negative Observation
97889,Angola,Field Facilities,Muconda_wroksho_area,Hazardous Materials Storage,Accumulated Dust and Debris,"Excessive dust and debris observed in work zones.
",Increase cleaning frequency and assign cleaning responsibilities.,2026-04-27T00:00:00.000Z,Other,End-Month,Negative Observation
97888,Angola,Field Activities,Muconda_Worshop_storage area,Materials Handling,Blocked Walkways,"Walkways blocked by stored equipment and waste.
",Clearly mark walkways and enforce no‑storage rules.,2026-04-27T00:00:00.000Z,Environmental,End-Month,Negative Observation
97887,Angola,Sample Processing,Muconda_drill_site,Storage & Handling,Trip Hazards from Loose Materials,"Loose cables and materials creating trip hazards.
",Secure cables and remove unnecessary materials immediately.,2026-04-27T00:00:00.000Z,Other,End-Month,Negative Observation
97886,Angola,Sample Processing,Muconda_workshop_area,Storage & Handling,Poor Housekeeping in Work Areas,"Materials and tools left scattered in work areas.
",Implement daily housekeeping checks and assign area ownership.,2026-04-27T00:00:00.000Z,Other,End-Month,Negative Observation
97884,Angola,Field Activities,Muconda_workshop,Materials Handling,PPE Not Properly Stored,"PPE stored on the floor or exposed to contamination.
",Provide designated PPE storage areas and enforce good storage practices.,2026-04-27T00:00:00.000Z,Safety,End-Month,Negative Observation
97883,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Inadequate PPE Availability,"Insufficient PPE available for visitors and contractors.
",Maintain adequate PPE stock and control distribution.,2026-04-27T00:00:00.000Z,Safety,End-Month,Negative Observation
97882,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),No PPE Signage,"PPE requirement signage missing at work area entrances.
",Install clear PPE mandatory signage at all access points.,2026-04-27T00:00:00.000Z,Safety,End-Month,Negative Observation
97881,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Damaged PPE in Use,"Damaged safety helmets and worn‑out gloves observed in use.
",Replace damaged PPE immediately and carry out regular PPE inspections.,2026-04-27T00:00:00.000Z,Other,End-Month,Negative Observation
97880,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Hazardous Observations,"Employees observed working without mandatory PPE (safety shoes and helmets).
",Reinforce PPE requirements during toolbox talks and conduct daily compliance inspections.,2026-04-24T00:00:00.000Z,Safety,End-Month,Negative Observation
97765,Botswana,Field Facilities,Tsabong  Field camp.,Accommodation (Company Owned),A significant volume of rainwater entered the ablution block following the recent heavy rains experienced in Tsabong area.,A significant volume of rainwater entered the ablution block following the recent heavy rains experienced in Tsabong area.,The Security officer onsite utilized a heavy-duty broom to manually sweep the standing water through the main entrance and into the external drainage system.,2026-04-24T00:00:00.000Z,Other,End-Month,Negative Observation
97743,Angola,Company Offices,Office,Security & Access,Obstruct the entry and exit of vehicles.,"It was observed that vehicles dropping off passengers at the Catoca and Endiama employees’ building obstruct the entry and exit of other vehicles, blocking access to the premises.","The security team was informed of the situation.
The incident was recorded according to internal procedures.
Omega security staff were instructed to warn drivers not to drop off passengers at this location, in order to avoid obstruction.",2026-04-24T00:00:00.000Z,Safety,End-Month,Negative Observation
97652,RSA Support Services,IML,Workshop and Admin,Workshops,Waste sorting,"incorrect waste sorting done , papers and plastics mixed together .",reported to maintanance supervisor to sort the waste properly .,2026-04-23T00:00:00.000Z,Environmental,End-Month,Negative Observation
97622,Botswana,Field Facilities, Tsabong Field Camp.,Accommodation (Company Owned),Snake trail spotted within the camp during routine patrols.,Snake trail spotted within the camp during routine patrols.,"The team onsite reminded of the presence of snakes as there are lot of mice and rats, which attract them. The team advised to remain vigilant and always SLAM.",2026-04-21T00:00:00.000Z,Safety,End-Month,Negative Observation
97606,Angola,Company Offices,Office,Facility & Infrastructure,The light switch requires repair.,The ladies' restroom light switch on the 9th floor was faulty.,"It was reported to the building manager last Friday, April 17, 2026.",2026-04-20T00:00:00.000Z,Other,Mid-Month,Negative Observation
97599,Angola,Field Activities,Muconda SE (drill site 178_X015_H002),Drilling (Core & LLD),Positive observation (critical control diligence),The team at the drill site diligently maintains the critical controls (lightning detector and gas detector),Complimented the team,2026-04-16T00:00:00.000Z,Other,Mid-Month,Positive Observation
97591,Angola,Company Offices,Lucapa campsite,Facility & Infrastructure,Camp Area – Near Accommodations and Ladies’ Toilet,Bees have been observed frequently present in the yard close to the accommodations and ladies’ toilet,"Inform workers about the presence of bees
Avoid unnecessary loitering in the affected area
Place warning signage: “CAUTION – BEES PRESENT”
Ensure first aid facilities are available and accessible",2026-04-22T00:00:00.000Z,Safety,End-Month,Negative Observation
97588,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Compliance with Drilling Procedures,"
The drilling activity was carried out in accordance with the approved method statement and safety procedures.","Well, done and congratulate all crew",2026-04-22T00:00:00.000Z,Other,End-Month,Negative Observation
97587,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Proper Supervision During Critical Activities,"
Adequate supervision was present during critical phases such as rod changes and drilling start‑up.",Well done and good team leader skills and supervision,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97586,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Emergency Equipment Available and Accessible,"
Fire extinguisher and first aid kit were clearly visible and easily accessible near the drill area.",well done team and congratulation,2026-04-20T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97584,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Good Ground Condition Monitoring,"
The crew actively monitored ground conditions around the drill hole and adjusted operations as required.",Well done and keep up working safely,2026-04-20T00:00:00.000Z,Other,Mid-Month,Positive Observation
97583,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Stable and Well‑Controlled Drilling Operations,"
The drilling process was conducted in a controlled and steady manner, indicating good operator competence.",Well done team and congratulation,2026-04-20T00:00:00.000Z,Other,Mid-Month,Negative Observation
97582,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Safe Handling of Drill Rods,"
Drill rods were handled using correct techniques, minimizing manual handling risks and hand injuries.",Congratulate the drill team,2026-04-22T00:00:00.000Z,Other,End-Month,Negative Observation
97581,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Proper Use of PPE,"
All drilling crew members were wearing the required PPE, including helmets, gloves, eye protection, and safety boots.",Congratulate the team for compliance of HSE PPE requirements and standards,2026-04-22T00:00:00.000Z,Safety,End-Month,Negative Observation
97579,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Clear Exclusion Zone Maintained,"
A well‑defined exclusion zone was established around the drilling rig, preventing unauthorized access.",Congratulate the team and well done,2026-04-20T00:00:00.000Z,Other,Mid-Month,Negative Observation
97578,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Good Housekeeping Around the Drill Rig,"
The drilling area was kept clean and organized, with drill cuttings and materials properly managed.",Congratulate the drillers team leader and supervisor,2026-04-21T00:00:00.000Z,Other,End-Month,Positive Observation
97577,Angola,Sample Processing,Muconda_drill_site,Waste Management,Poor Housekeeping Around Waste Areas,Waste collection points are dirty and poorly maintained.,"Clean and disinfect waste areas daily
Define and mark designated waste collection areas
Include waste area condition in routine HSE inspections",2026-04-22T00:00:00.000Z,Environmental,End-Month,Negative Observation
97576,Angola,Sample Processing,Muconda_fly_camp,Waste Management,Waste Attracting Flies and Pests,"
Poor waste disposal is attracting flies and pests.","Ensure all bins have lids and remain closed
Remove organic waste daily
Implement pest control measures and monitoring",2026-04-22T00:00:00.000Z,Environmental,End-Month,Negative Observation
97575,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Poor Toilet Cleanliness,"Toilets are dirty, with bad odor and poor hygiene conditions.","Increase toilet cleaning frequency
Use approved cleaning and disinfecting materials
Assign cleaning checklist and supervisor sign‑off",2026-04-22T00:00:00.000Z,Health / Hygiene,End-Month,Negative Observation
97574,Angola,Sample Processing,Muconda_frly_camp,Waste Management,Overflowing Waste Bins,Waste bins are overfilled and not emptied regularly.,"Implement waste collection at least twice per day
Assign responsibility to cleaning team",2026-04-22T00:00:00.000Z,Environmental,End-Month,Negative Observation
97573,Angola,Field Facilities,Muconda_Fly_camps,Accommodation (Tented),Insufficient Waste Bins,"Not enough waste bins in toilets, kitchen, and work areas.","Increase number of bins at strategic locations
Ensure bins are available near toilets and eating areas
Review bin placement during inspections",2026-04-22T00:00:00.000Z,Environmental,End-Month,Negative Observation
97572,Angola,Sample Processing,Muconda_drill_site,Waste Management,Unsafe act,"Waste bins are not clearly labeled, causing incorrect disposal.","Label all bins clearly (ORGANIC / PLASTIC / GENERAL)
Use durable, visible labels
Conduct periodic checks to ensure labels remain intact",2026-04-22T00:00:00.000Z,Environmental,End-Month,Negative Observation
97571,Angola,Sample Processing,Muconda_house,Waste Management,Muconda_accomodation house,"Organic, plastic, and general waste are mixed in the same bins.","Provide separate bins for organic, plastic, and general waste
Conduct awareness briefing on waste segregation
Display segregation posters at waste points",2026-04-22T00:00:00.000Z,Environmental,End-Month,Negative Observation
